C:Lspec/benchmarks/serial/data/TestDomainObject Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (M)Ljava/util/Random:nextDouble()
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (M)Ljava/lang/StringBuilder:append(D)
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (M)Ljava/lang/StringBuilder:toString()
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (M)Ljava/util/Random:nextInt()
C:Lspec/benchmarks/serial/data/TestDomainObject Ljava/lang/Long
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (S)Ljava/lang/Long:valueOf(J)
C:Lspec/benchmarks/serial/data/TestDomainObject Ljava/lang/Boolean
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (S)Ljava/lang/Boolean:valueOf(Z)
M:Lspec/benchmarks/serial/data/TestDomainObject:equals(Ljava/lang/Object,) (M)Ljava/lang/Object:getClass()
C:Lspec/benchmarks/serial/data/TestDomainObject Ljava/lang/String
M:Lspec/benchmarks/serial/data/TestDomainObject:equals(Ljava/lang/Object,) (M)Ljava/lang/String:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestDomainObject:equals(Ljava/lang/Object,) (M)Ljava/lang/String:hashCode()
C:Lspec/benchmarks/serial/data/TestExceptionReference Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestExceptionReference Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
C:Lspec/benchmarks/serial/data/TestExceptionReference Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (D)Ljava/util/Random:<init>()
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (M)Ljava/util/Random:nextInt()
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (M)Ljava/lang/StringBuilder:append(I)
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (M)Ljava/lang/StringBuilder:toString()
C:Lspec/benchmarks/serial/data/TestExceptionReference Ljava/io/IOException
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (D)Ljava/io/IOException:<init>(Ljava/lang/String)
C:Lspec/benchmarks/serial/data/TestExceptionReference Lspec/benchmarks/serial/data/TestExceptionReference
M:Lspec/benchmarks/serial/data/TestExceptionReference:<init>() (D)Lspec/benchmarks/serial/data/TestExceptionReference:<init>()
M:Lspec/benchmarks/serial/data/TestExceptionReference:equals(Ljava/lang/Object,) (M)Ljava/io/IOException:getMessage()
